index,title,chapter,length
1,Genesis,1,3935
1,Genesis,2,2903
1,Genesis,3,3230
1,Genesis,4,3046
1,Genesis,5,2516
1,Genesis,6,2633
1,Genesis,7,2708
1,Genesis,8,2736
1,Genesis,9,3225
1,Genesis,10,2460
1,Genesis,11,3196
1,Genesis,12,2397
1,Genesis,13,2065
1,Genesis,14,3172
1,Genesis,15,2283
1,Genesis,16,1974
1,Genesis,17,3255
1,Genesis,18,4185
1,Genesis,19,5141
1,Genesis,20,2399
1,Genesis,21,3547
1,Genesis,22,2919
1,Genesis,23,2259
1,Genesis,24,8502
1,Genesis,25,3506
1,Genesis,26,4274
1,Genesis,27,5702
1,Genesis,28,2901
1,Genesis,29,4218
1,Genesis,30,5190
1,Genesis,31,7004
1,Genesis,32,3862
1,Genesis,33,2436
1,Genesis,34,3798
1,Genesis,35,3138
1,Genesis,36,4005
1,Genesis,37,4516
1,Genesis,38,3981
1,Genesis,39,2912
1,Genesis,40,2694
1,Genesis,41,6722
1,Genesis,42,4924
1,Genesis,43,4685
1,Genesis,44,4192
1,Genesis,45,3546
1,Genesis,46,3602
1,Genesis,47,4621
1,Genesis,48,3237
1,Genesis,49,3694
1,Genesis,50,3427
2,Exodus,1,2153
2,Exodus,2,2985
2,Exodus,3,3498
2,Exodus,4,3910
2,Exodus,5,2903
2,Exodus,6,3264
2,Exodus,7,3120
2,Exodus,8,4434
2,Exodus,9,4608
2,Exodus,10,4114
2,Exodus,11,1448
2,Exodus,12,6654
2,Exodus,13,3045
2,Exodus,14,4323
2,Exodus,15,3387
2,Exodus,16,4806
2,Exodus,17,2231
2,Exodus,18,3601
2,Exodus,19,3381
2,Exodus,20,2718
2,Exodus,21,4206
2,Exodus,22,3887
2,Exodus,23,4130
2,Exodus,24,2296
2,Exodus,25,3740
2,Exodus,26,3683
2,Exodus,27,2557
2,Exodus,28,5145
2,Exodus,29,5667
2,Exodus,30,4259
2,Exodus,31,2058
2,Exodus,32,5009
2,Exodus,33,3089
2,Exodus,34,4844
2,Exodus,35,3833
2,Exodus,36,4177
2,Exodus,37,3010
2,Exodus,38,3859
2,Exodus,39,4928
2,Exodus,40,3718
3,Leviticus,1,2400
3,Leviticus,2,2139
3,Leviticus,3,2227
3,Leviticus,4,5175
3,Leviticus,5,3562
3,Leviticus,6,4142
3,Leviticus,7,4876
3,Leviticus,8,4774
3,Leviticus,9,3133
3,Leviticus,10,3160
3,Leviticus,11,5186
3,Leviticus,12,1237
3,Leviticus,13,8388
3,Leviticus,14,7612
3,Leviticus,15,4575
3,Leviticus,16,5391
3,Leviticus,17,2398
3,Leviticus,18,3372
3,Leviticus,19,4087
3,Leviticus,20,4046
3,Leviticus,21,2704
3,Leviticus,22,4254
3,Leviticus,23,5726
3,Leviticus,24,2612
3,Leviticus,25,7065
3,Leviticus,26,6071
3,Leviticus,27,4320
4,Numbers,1,5636
4,Numbers,2,2969
4,Numbers,3,5519
4,Numbers,4,5891
4,Numbers,5,4357
4,Numbers,6,3887
4,Numbers,7,10556
4,Numbers,8,3236
4,Numbers,9,3202
4,Numbers,10,3833
4,Numbers,11,4781
4,Numbers,12,1842
4,Numbers,13,3298
4,Numbers,14,5801
4,Numbers,15,4905
4,Numbers,16,6414
4,Numbers,17,1486
4,Numbers,18,5056
4,Numbers,19,3462
4,Numbers,20,3683
4,Numbers,21,4428
4,Numbers,22,5288
4,Numbers,23,3368
4,Numbers,24,2962
4,Numbers,25,2150
4,Numbers,26,6501
4,Numbers,27,2747
4,Numbers,28,3784
4,Numbers,29,4766
4,Numbers,30,2185
4,Numbers,31,5203
4,Numbers,32,4905
4,Numbers,33,4123
4,Numbers,34,2575
