"index","book_title","chapter","length"
1,"Genesis",1,3914
1,"Genesis",2,2954
1,"Genesis",3,3361
1,"Genesis",4,3248
1,"Genesis",5,3006
1,"Genesis",6,2880
1,"Genesis",7,2884
1,"Genesis",8,2847
1,"Genesis",9,3201
1,"Genesis",10,2835
1,"Genesis",11,3530
1,"Genesis",12,2548
1,"Genesis",13,2224
1,"Genesis",14,3123
1,"Genesis",15,2370
1,"Genesis",16,2156
1,"Genesis",17,3608
1,"Genesis",18,4235
1,"Genesis",19,5400
1,"Genesis",20,2524
1,"Genesis",21,3771
1,"Genesis",22,3110
1,"Genesis",23,2499
1,"Genesis",24,8678
1,"Genesis",25,3679
1,"Genesis",26,4395
1,"Genesis",27,6092
1,"Genesis",28,3010
1,"Genesis",29,4112
1,"Genesis",30,5048
1,"Genesis",31,7102
1,"Genesis",32,4030
1,"Genesis",33,2521
1,"Genesis",34,3984
1,"Genesis",35,3267
1,"Genesis",36,4597
1,"Genesis",37,4848
1,"Genesis",38,4107
1,"Genesis",39,3064
1,"Genesis",40,2932
1,"Genesis",41,7070
1,"Genesis",42,5014
1,"Genesis",43,4740
1,"Genesis",44,4209
1,"Genesis",45,3662
1,"Genesis",46,3816
1,"Genesis",47,4769
1,"Genesis",48,3237
1,"Genesis",49,3851
1,"Genesis",50,3569
2,"Exodus",1,2344
2,"Exodus",2,3256
2,"Exodus",3,3845
2,"Exodus",4,4256
2,"Exodus",5,3132
2,"Exodus",6,3709
2,"Exodus",7,3467
2,"Exodus",8,4687
2,"Exodus",9,4808
2,"Exodus",10,4477
2,"Exodus",11,1663
2,"Exodus",12,7352
2,"Exodus",13,3351
2,"Exodus",14,4737
2,"Exodus",15,3541
2,"Exodus",16,5024
2,"Exodus",17,2260
2,"Exodus",18,3746
2,"Exodus",19,3486
2,"Exodus",20,2904
2,"Exodus",21,4321
2,"Exodus",22,3852
2,"Exodus",23,4443
2,"Exodus",24,2456
2,"Exodus",25,4425
2,"Exodus",26,4874
2,"Exodus",27,2870
2,"Exodus",28,6033
2,"Exodus",29,6492
2,"Exodus",30,4824
2,"Exodus",31,2301
2,"Exodus",32,5342
2,"Exodus",33,3502
2,"Exodus",34,5426
2,"Exodus",35,4142
2,"Exodus",36,4807
2,"Exodus",37,3345
2,"Exodus",38,4139
2,"Exodus",39,5358
2,"Exodus",40,4101
3,"Leviticus",1,2528
3,"Leviticus",2,2397
3,"Leviticus",3,2449
3,"Leviticus",4,5629
3,"Leviticus",5,3662
3,"Leviticus",6,4436
3,"Leviticus",7,5307
3,"Leviticus",8,5193
3,"Leviticus",9,3352
3,"Leviticus",10,3443
3,"Leviticus",11,5677
3,"Leviticus",12,1315
3,"Leviticus",13,9175
3,"Leviticus",14,8380
3,"Leviticus",15,4804
3,"Leviticus",16,5737
3,"Leviticus",17,2655
3,"Leviticus",18,3591
3,"Leviticus",19,4472
3,"Leviticus",20,4470
3,"Leviticus",21,2863
3,"Leviticus",22,4304
3,"Leviticus",23,6296
3,"Leviticus",24,2767
3,"Leviticus",25,7664
3,"Leviticus",26,6464
3,"Leviticus",27,4757
4,"Numbers",1,6340
4,"Numbers",2,3314
4,"Numbers",3,6299
4,"Numbers",4,6847
4,"Numbers",5,4842
4,"Numbers",6,3789
4,"Numbers",7,10000
4,"Numbers",8,3622
4,"Numbers",9,3657
4,"Numbers",10,4292
4,"Numbers",11,5315
4,"Numbers",12,1966
4,"Numbers",13,3773
4,"Numbers",14,6146
4,"Numbers",15,5416
4,"Numbers",16,6901
4,"Numbers",17,1697
4,"Numbers",18,5623
4,"Numbers",19,3643
4,"Numbers",20,3981
4,"Numbers",21,4609
4,"Numbers",22,5719
4,"Numbers",23,3651
4,"Numbers",24,3257
4,"Numbers",25,2295
4,"Numbers",26,7578
4,"Numbers",27,3133
4,"Numbers",28,3891
4,"Numbers",29,4982
4,"Numbers",30,2524
4,"Numbers",31,5845
4,"Numbers",32,5348
4,"Numbers",33,4984
4,"Numbers",34,3194
4,"Numbers",35,4955
4,"Numbers",36,2364
5,"Deuteronomy",1,6221
5,"Deuteronomy",2,5074
5,"Deuteronomy",3,4139
5,"Deuteronomy",4,7495
5,"Deuteronomy",5,4454
5,"Deuteronomy",6,3256
5,"Deuteronomy",7,4383
5,"Deuteronomy",8,2922
5,"Deuteronomy",9,4930
5,"Deuteronomy",10,3021
5,"Deuteronomy",11,4689
5,"Deuteronomy",12,5222
5,"Deuteronomy",13,2990
5,"Deuteronomy",14,3397
5,"Deuteronomy",15,3418
5,"Deuteronomy",16,3603
5,"Deuteronomy",17,3545
5,"Deuteronomy",18,2976
5,"Deuteronomy",19,3055
5,"Deuteronomy",20,3238
5,"Deuteronomy",21,3523
5,"Deuteronomy",22,4364
5,"Deuteronomy",23,3374
5,"Deuteronomy",24,3307
5,"Deuteronomy",25,2789
5,"Deuteronomy",26,3262
5,"Deuteronomy",27,3014
5,"Deuteronomy",28,10269
5,"Deuteronomy",29,4207
5,"Deuteronomy",30,3157
5,"Deuteronomy",31,5092
5,"Deuteronomy",32,6593
5,"Deuteronomy",33,4040
5,"Deuteronomy",34,1548
6,"Joshua",1,2860
6,"Joshua",2,3814
6,"Joshua",3,2886
6,"Joshua",4,3546
6,"Joshua",5,2753
6,"Joshua",6,4492
6,"Joshua",7,4769
6,"Joshua",8,5802
6,"Joshua",9,4082
6,"Joshua",10,6946
6,"Joshua",11,3695
6,"Joshua",12,2492
6,"Joshua",13,4550
6,"Joshua",14,2494
6,"Joshua",15,5501
6,"Joshua",16,1397
6,"Joshua",17,3491
6,"Joshua",18,4013
6,"Joshua",19,5237
6,"Joshua",20,1628
6,"Joshua",21,5659
6,"Joshua",22,6729
6,"Joshua",23,2761
6,"Joshua",24,5245
7,"Judges",1,5093
7,"Judges",2,3527
7,"Judges",3,4344
7,"Judges",4,3786
7,"Judges",5,3925
7,"Judges",6,6289
7,"Judges",7,4631
7,"Judges",8,4925
7,"Judges",9,8324
7,"Judges",10,2352
7,"Judges",11,6100
7,"Judges",12,2104
7,"Judges",13,3654
7,"Judges",14,3467
7,"Judges",15,3112
7,"Judges",16,5536
7,"Judges",17,1923
7,"Judges",18,5158
7,"Judges",19,5326
7,"Judges",20,7110
7,"Judges",21,3794
8,"Ruth",1,3141
8,"Ruth",2,3810
8,"Ruth",3,2475
8,"Ruth",4,3258
9,"1 Samuel",1,3875
9,"1 Samuel",2,5464
9,"1 Samuel",3,2651
9,"1 Samuel",4,3625
9,"1 Samuel",5,2054
9,"1 Samuel",6,3735
9,"1 Samuel",7,2618
9,"1 Samuel",8,2745
9,"1 Samuel",9,4709
9,"1 Samuel",10,4278
9,"1 Samuel",11,2494
9,"1 Samuel",12,3904
9,"1 Samuel",13,3618
9,"1 Samuel",14,8080
9,"1 Samuel",15,4931
9,"1 Samuel",16,3444
9,"1 Samuel",17,8575
9,"1 Samuel",18,4239
9,"1 Samuel",19,3639
9,"1 Samuel",20,6312
9,"1 Samuel",21,2438
9,"1 Samuel",22,3891
9,"1 Samuel",23,4202
9,"1 Samuel",24,3299
9,"1 Samuel",25,7013
9,"1 Samuel",26,4300
9,"1 Samuel",27,1999
9,"1 Samuel",28,4073
9,"1 Samuel",29,2247
9,"1 Samuel",30,4766
9,"1 Samuel",31,1840
10,"2 Samuel",1,3476
10,"2 Samuel",2,4668
10,"2 Samuel",3,5787
10,"2 Samuel",4,2152
10,"2 Samuel",5,3251
10,"2 Samuel",6,3581
10,"2 Samuel",7,4272
10,"2 Samuel",8,2333
10,"2 Samuel",9,2036
10,"2 Samuel",10,3096
10,"2 Samuel",11,4022
10,"2 Samuel",12,4943
10,"2 Samuel",13,5820
10,"2 Samuel",14,5501
10,"2 Samuel",15,5552
10,"2 Samuel",16,3643
10,"2 Samuel",17,4690
10,"2 Samuel",18,5633
10,"2 Samuel",19,7207
10,"2 Samuel",20,4299
10,"2 Samuel",21,4019
10,"2 Samuel",22,4618
10,"2 Samuel",23,4543
10,"2 Samuel",24,4362
11,"1 Kings",1,7649
11,"1 Kings",2,7411
11,"1 Kings",3,4335
11,"1 Kings",4,3531
11,"1 Kings",5,2625
11,"1 Kings",6,5194
11,"1 Kings",7,7278
11,"1 Kings",8,10859
11,"1 Kings",9,4174
11,"1 Kings",10,4190
11,"1 Kings",11,6456
11,"1 Kings",12,5210
11,"1 Kings",13,5379
11,"1 Kings",14,4962
11,"1 Kings",15,4824
11,"1 Kings",16,5046
11,"1 Kings",17,3280
11,"1 Kings",18,6769
11,"1 Kings",19,3600
11,"1 Kings",20,7139
11,"1 Kings",21,4489
11,"1 Kings",22,7469
12,"2 Kings",1,3194
12,"2 Kings",2,4060
12,"2 Kings",3,4192
12,"2 Kings",4,6270
12,"2 Kings",5,4752
12,"2 Kings",6,4982
12,"2 Kings",7,4128
12,"2 Kings",8,4775
12,"2 Kings",9,5833
12,"2 Kings",10,6012
12,"2 Kings",11,3648
12,"2 Kings",12,3562
12,"2 Kings",13,3911
12,"2 Kings",14,4363
12,"2 Kings",15,5391
12,"2 Kings",16,3408
12,"2 Kings",17,6527
12,"2 Kings",18,6032
12,"2 Kings",19,5680
12,"2 Kings",20,3272
12,"2 Kings",21,3727
12,"2 Kings",22,3468
12,"2 Kings",23,7349
12,"2 Kings",24,3039
12,"2 Kings",25,4891
13,"1 Chronicles",1,3638
13,"1 Chronicles",2,4846
13,"1 Chronicles",3,1971
13,"1 Chronicles",4,4465
13,"1 Chronicles",5,3365
13,"1 Chronicles",6,7418
13,"1 Chronicles",7,4111
13,"1 Chronicles",8,2734
13,"1 Chronicles",9,5233
13,"1 Chronicles",10,1897
13,"1 Chronicles",11,5137
13,"1 Chronicles",12,4949
13,"1 Chronicles",13,1907
13,"1 Chronicles",14,1882
13,"1 Chronicles",15,3683
13,"1 Chronicles",16,4400
13,"1 Chronicles",17,3877
13,"1 Chronicles",18,2216
13,"1 Chronicles",19,3192
13,"1 Chronicles",20,1440
13,"1 Chronicles",21,4566
13,"1 Chronicles",22,3081
13,"1 Chronicles",23,3430
13,"1 Chronicles",24,2987
13,"1 Chronicles",25,2884
13,"1 Chronicles",26,3980
13,"1 Chronicles",27,4175
13,"1 Chronicles",28,4128
13,"1 Chronicles",29,4895
14,"2 Chronicles",1,2594
14,"2 Chronicles",2,3005
14,"2 Chronicles",3,2328
14,"2 Chronicles",4,2770
14,"2 Chronicles",5,2487
14,"2 Chronicles",6,7060
14,"2 Chronicles",7,3739
14,"2 Chronicles",8,2713
14,"2 Chronicles",9,4514
14,"2 Chronicles",10,2810
14,"2 Chronicles",11,2517
14,"2 Chronicles",12,2580
14,"2 Chronicles",13,3260
14,"2 Chronicles",14,2299
14,"2 Chronicles",15,2521
14,"2 Chronicles",16,2328
14,"2 Chronicles",17,2242
14,"2 Chronicles",18,5068
14,"2 Chronicles",19,1889
14,"2 Chronicles",20,5904
14,"2 Chronicles",21,3140
14,"2 Chronicles",22,2327
14,"2 Chronicles",23,3959
14,"2 Chronicles",24,4686
14,"2 Chronicles",25,4713
14,"2 Chronicles",26,3665
14,"2 Chronicles",27,1243
14,"2 Chronicles",28,4591
14,"2 Chronicles",29,6008
14,"2 Chronicles",30,4685
14,"2 Chronicles",31,4025
14,"2 Chronicles",32,5505
14,"2 Chronicles",33,3907
14,"2 Chronicles",34,6142
14,"2 Chronicles",35,4914
14,"2 Chronicles",36,3839
15,"Ezra",1,1832
15,"Ezra",2,4130
15,"Ezra",3,2818
15,"Ezra",4,4014
15,"Ezra",5,3034
15,"Ezra",6,3949
15,"Ezra",7,4251
15,"Ezra",8,4747
15,"Ezra",9,3196
15,"Ezra",10,4845
16,"Nehemiah",1,1987
16,"Nehemiah",2,3379
16,"Nehemiah",3,4854
16,"Nehemiah",4,3369
16,"Nehemiah",5,3337
16,"Nehemiah",6,3003
